Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
48,309260.0,832.604,-3.91493,-3.40255,-0.872706,-1.64107,-0.0244983,2421.48,134846,958.83,130078,728.568,100554.0,692.329
51,290775.0,820.247,-3.592,-3.13558,-0.886325,-1.53142,-0.0232067,3060.19,138395,963.939,133848,734.262,100782.0,694.274
54,273561.0,808.088,-3.29289,-2.88801,-0.896523,-1.42987,-0.0219963,3755.42,140831,967.395,137668,740.128,100591.0,696.036
57,257553.0,796.098,-3.01584,-2.65845,-0.903345,-1.33972,-0.0209212,4531.76,142839,970.253,141941,746.818,100080.0,697.746
60,242663.0,784.179,-2.75823,-2.44481,-0.906661,-1.25296,-0.0198608,5377.2,145491,974.002,146564,754.266,99289.7,699.356
63,228929.0,772.663,-2.52286,-2.24932,-0.907624,-1.17346,-0.0188758,6209.51,149148,979.04,150673,761.275,98241.2,700.438
66,216289.0,761.581,-2.30842,-2.07093,-0.9066,-1.10079,-0.0179629,6999.32,153446,984.78,154176,768.397,97057.5,701.434
69,204672.0,750.952,-2.11341,-1.90844,-0.903915,-1.03445,-0.0171179,7718.47,158076,990.798,157219,775.505,95878.1,702.417
72,193995.0,740.749,-1.93593,-1.76031,-0.899742,-0.973848,-0.0163363,8355.97,162733,996.689,159853,780.649,94699.5,702.498
75,184214.0,731.037,-1.77524,-1.62597,-0.894577,-0.918707,-0.0156153,8911.88,167000,1001.95,162361,784.952,93767.6,702.492
78,175266.0,721.815,-1.62994,-1.50428,-0.888693,-0.866956,-0.0149233,9366.77,170699,1006.43,165121,789.434,93504.4,703.418
81,167086.0,713.077,-1.49865,-1.39413,-0.882313,-0.817,-0.0142351,9776.05,173681,1009.98,168170,793.553,93588.7,704.767
84,159636.0,704.837,-1.38042,-1.29476,-0.875785,-0.768899,-0.013553,10142.8,175701,1012.36,171147,797.064,93797.9,705.992
87,152926.0,697.089,-1.2745,-1.20564,-0.869604,-0.724572,-0.0129117,10374.5,176832,1013.7,173792,799.944,94579.5,707.656
90,146884.0,689.795,-1.17942,-1.12555,-0.86381,-0.68074,-0.0122551,10430.0,177620,1014.67,176175,802.201,96202.7,710.104
93,141399.0,682.999,-1.09416,-1.05362,-0.8584,-0.638578,-0.0116071,10385.9,178360,1015.58,178138,803.621,98083.5,712.657
96,136401.0,676.649,-1.01738,-0.988719,-0.853253,-0.597783,-0.0109645,10254.7,178679,1015.98,178986,803.424,99786.0,714.374
99,131839.0,670.717,-0.948104,-0.930068,-0.848364,-0.558169,-0.0103257,10027.7,178459,1015.76,178877,801.778,101565.0,715.597
102,127673.0,665.177,-0.88554,-0.877011,-0.843745,-0.519564,-0.00968911,9717.34,178004,1015.27,178171,799.119,103463.0,716.642
105,123868.0,660.007,-0.828989,-0.828977,-0.839409,-0.481801,-0.0090531,9325.16,177302,1014.48,176892,795.537,105107.0,717.046
108,120393.0,655.19,-0.777854,-0.785476,-0.835373,-0.444704,-0.0084156,8878.01,175628,1012.49,174824,789.669,106420.0,716.209
111,117218.0,650.705,-0.731599,-0.746069,-0.831644,-0.408064,-0.00777382,8351.7,172253,1008.4,171507,783.069,107257.0,714.858
114,114317.0,646.534,-0.689723,-0.71034,-0.828206,-0.371615,-0.00712375,7805.48,167459,1002.47,167199,775.888,107381.0,712.74
117,111666.0,642.657,-0.651788,-0.67793,-0.825045,-0.33503,-0.00645999,7210.82,162182,995.798,162581,768.705,107186.0,710.511
120,109245.0,639.064,-0.617455,-0.648557,-0.822176,-0.297902,-0.00577544,6523.32,156671,988.636,157544,761.259,106832.0,708.159
123,107041.0,635.749,-0.586474,-0.622015,-0.819647,-0.259685,-0.00506002,5785.26,150253,980.007,151452,752.698,106005.0,705.027
126,105041.0,632.712,-0.558647,-0.598141,-0.817517,-0.219501,-0.00429698,5059.22,142439,968.989,144373,743.012,104619.0,701.077
129,103233.0,629.947,-0.533755,-0.576751,-0.815814,-0.175608,-0.00345244,4351.18,134878,957.2,137307,733.141,103017.0,696.587
132,101602.0,627.432,-0.511505,-0.557607,-0.8145,-0.123497,-0.00243747,3598.1,127822,944.887,130336,723.113,101462.0,691.854
135,100135.0,625.146,-0.491612,-0.540473,-0.813523,-0.0357816,-0.000708779,2814.02,119895,930.383,123208,712.81,99994.1,687.101
138,98821.1,623.062,-0.473796,-0.525125,-0.812825,0.104985,0.00208662,2112.03,113243,912.915,117435,704.549,98994.0,683.325
141,97648.0,621.146,-0.457729,-0.511295,-0.812294,0.147049,0.00293206,1520.59,109306,903.472,113255,698.454,98420.7,680.5
144,96605.1,619.368,-0.443145,-0.498767,-0.811838,0.175305,0.00350644,1039.68,105804,895.11,109688,692.99,97955.7,677.977
147,95684.4,617.705,-0.429831,-0.48737,-0.811396,0.196236,0.00393744,721.754,103511,888.386,107254,689.157,97691.7,676.187
150,94880.0,616.137,-0.417615,-0.476965,-0.81092,0.212328,0.00427381,530.058,102957,884.228,106424,687.86,97900.4,675.826
153,94186.9,614.655,-0.406387,-0.467462,-0.810391,0.224864,0.00454063,417.656,103510,881.223,106732,688.384,98511.6,676.633
156,93602.2,613.282,-0.396247,-0.458933,-0.809903,0.234598,0.00475218,414.16,105173,879.015,108455,691.22,99487.6,678.775
159,93123.3,612.036,-0.387275,-0.451438,-0.80954,0.242025,0.00491767,530.726,107848,877.025,111785,696.397,100613.0,681.832
162,92748.2,610.937,-0.379546,-0.44503,-0.809375,0.247481,0.00504317,775.075,110800,873.511,116037,702.875,101361.0,684.828
165,92473.5,609.996,-0.373106,-0.439741,-0.809458,0.251224,0.00513326,1112.6,113004,866.436,120412,709.342,101871.0,687.274
168,92296.8,609.22,-0.367968,-0.435579,-0.809816,0.253426,0.00519096,1540.79,115117,856.666,124837,715.799,102386.0,689.656
171,92215.0,608.615,-0.364138,-0.432543,-0.810459,0.254221,0.00521856,2120.45,117360,842.593,129574,722.651,102752.0,692.182
174,92225.8,608.184,-0.361631,-0.430643,-0.811404,0.253684,0.00521723,2874.8,119805,825.103,134720,730.01,102554.0,694.45
177,92329.4,607.935,-0.360485,-0.429905,-0.812682,0.251822,0.00518683,3762.8,122554,809.524,140157,737.655,101788.0,696.22
180,92525.3,607.872,-0.360724,-0.43035,-0.814311,0.248612,0.00512666,4686.65,125355,797.565,145224,744.776,100691.0,697.431
183,92812.0,607.995,-0.36235,-0.431976,-0.816278,0.244011,0.00503577,5581.13,127900,789.49,149460,750.973,99482.8,698.268
186,93187.5,608.304,-0.365358,-0.434776,-0.81856,0.237941,0.00491251,6409.91,129759,782.975,152778,756.36,98292.8,698.927
189,93652.0,608.798,-0.369762,-0.438762,-0.821148,0.23024,0.00475357,7148.53,130830,776.078,155446,761.244,97101.6,699.342
192,94207.5,609.478,-0.375592,-0.443957,-0.824046,0.220635,0.00455353,7803.52,131959,768.855,157983,766.771,95967.1,699.916
195,94857.3,610.344,-0.382876,-0.450389,-0.827255,0.208713,0.00430417,8379.66,134294,762.586,160824,773.688,95221.9,701.159
