Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
147,96772.1,589.542,-0.259652,-0.358794,-0.727554,0,0,391.517,97161.6,860.427,97158.5,681.571,94214.5,654.237
150,95943.7,588.108,-0.248839,-0.349436,-0.726933,0,0,424.265,99432.4,864.972,98019.2,684.858,94290.3,659.553
153,95233.3,586.789,-0.239088,-0.341044,-0.726415,0,0,615.354,103055.0,871.225,100083.0,690.644,94892.5,665.728
156,94635.3,585.58,-0.230322,-0.333553,-0.725989,0,0,902.616,105905.0,874.559,102869.0,697.915,95954.4,671.756
159,94144.8,584.493,-0.222579,-0.326986,-0.725698,0,0,1302.56,108092.0,875.187,106091.0,705.891,97406.2,676.019
162,93758.5,583.541,-0.21591,-0.321377,-0.725595,0,0,1896.23,110081.0,873.669,109338.0,713.771,98696.8,678.942
165,93473.4,582.737,-0.210373,-0.316769,-0.725734,0,0,2625.8,111750.0,869.212,112466.0,721.414,99748.4,682.317
168,93287.2,582.087,-0.205992,-0.313174,-0.726143,0,0,3412.07,113109.0,861.24,115600.0,729.158,100590.0,686.518
171,93195.9,581.596,-0.202769,-0.310591,-0.726828,0,0,4192.8,114341.0,849.741,118320.0,735.848,101070.0,690.4
174,93197.2,581.267,-0.200722,-0.30903,-0.727802,0,0,5006.13,115340.0,834.196,120566.0,740.755,101142.0,693.259
