Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
54,268849.0,835.057,-2.90664,-3.06106,-0.93212,-0.938245,-0.0141822,6219.13,127882.0,1027.74,117463.0,796.859,96951.8,749.735
57,253191.0,822.838,-2.64698,-2.82642,-0.940676,-0.876764,-0.0134549,7064.97,130538.0,1032.22,118646.0,797.618,96153.4,750.489
60,238698.0,810.956,-2.40891,-2.61049,-0.946407,-0.820225,-0.0127773,7877.46,132950.0,1036.2,119765.0,796.768,95236.5,750.629
63,225314.0,799.439,-2.1912,-2.41226,-0.949626,-0.770455,-0.0121805,8731.23,134756.0,1039.14,120953.0,793.814,94279.2,749.464
66,212893.0,788.005,-1.9891,-2.2279,-0.949734,-0.722654,-0.0115922,9709.49,136390.0,1041.8,122382.0,788.457,93313.5,746.623
69,201473.0,777.033,-1.80557,-2.05975,-0.948077,-0.679005,-0.0110475,10771.2,138030.0,1044.44,124274.0,780.501,92633.8,742.282
72,190977.0,766.497,-1.63878,-1.9063,-0.944847,-0.639135,-0.0105437,11787.0,139591.0,1046.92,126726.0,768.636,92603.3,736.222
75,181365.0,756.472,-1.48812,-1.76704,-0.940579,-0.602751,-0.0100771,12777.9,141111.0,1049.32,129297.0,759.499,92930.8,731.722
78,172573.0,746.955,-1.35218,-1.6408,-0.935546,-0.56809,-0.00962028,13722.8,142681.0,1051.77,131688.0,753.599,93349.8,729.284
81,164540.0,737.942,-1.22965,-1.52648,-0.929987,-0.534628,-0.00916577,14371.1,143935.0,1053.7,133644.0,750.713,94088.4,728.625
84,157240.0,729.463,-1.11976,-1.42348,-0.924353,-0.502459,-0.00871582,14481.3,144483.0,1054.56,135224.0,749.795,95637.9,729.644
87,150704.0,721.618,-1.02261,-1.33201,-0.919535,-0.471963,-0.00827711,14098.9,144652.0,1054.88,136529.0,750.808,97955.2,731.8
90,144828.0,714.363,-0.936508,-1.25056,-0.915435,-0.442929,-0.00784794,13459.2,144818.0,1055.21,137767.0,752.495,100661.0,733.592
93,139489.0,707.6,-0.859362,-1.17723,-0.911616,-0.414952,-0.00742356,12741.1,145143.0,1055.78,138819.0,754.23,103355.0,734.128
96,134622.0,701.278,-0.789956,-1.11096,-0.907974,-0.387841,-0.00700203,11931.0,145209.0,1055.93,139437.0,755.802,106010.0,732.907
99,130149.0,695.22,-0.72623,-1.05001,-0.903968,-0.361788,-0.00658827,11020.7,144767.0,1055.32,139687.0,757.452,108729.0,730.977
102,126053.0,689.506,-0.668328,-0.99446,-0.899974,-0.335739,-0.00616401,10007.6,143788.0,1053.88,139663.0,759.375,111345.0,730.337
105,122311.0,684.172,-0.616062,-0.944104,-0.896218,-0.31018,-0.00573869,9078.44,142333.0,1051.69,139199.0,761.294,113284.0,730.234
108,118893.0,679.199,-0.56886,-0.898442,-0.892718,-0.284975,-0.00531055,8321.29,139911.0,1047.94,137580.0,762.079,113791.0,729.27
111,115768.0,674.567,-0.526201,-0.857013,-0.889475,-0.25995,-0.00487714,7567.38,136100.0,1041.89,134929.0,761.793,113444.0,727.757
114,112911.0,670.254,-0.487612,-0.819396,-0.886477,-0.234887,-0.00443499,6708.12,131500.0,1034.4,131814.0,761.017,112806.0,726.338
117,110300.0,666.245,-0.452698,-0.785237,-0.883723,-0.209506,-0.00397934,5818.92,127096.0,1027.03,128447.0,760.215,111751.0,724.997
120,107917.0,662.53,-0.421156,-0.754265,-0.881245,-0.183435,-0.00350352,4989.51,122827.0,1019.68,124454.0,758.32,109921.0,722.509
123,105747.0,659.107,-0.392757,-0.726275,-0.8791,-0.156102,-0.00299685,4211.76,117791.0,1010.71,119728.0,754.767,107500.0,718.718
126,103779.0,655.97,-0.367295,-0.701081,-0.877338,-0.126441,-0.00243897,3437.15,111736.0,999.447,114727.0,750.163,104939.0,714.192
129,102000.0,653.108,-0.344519,-0.678459,-0.875962,-0.0918692,-0.00177985,2669.91,106070.0,988.388,110121.0,745.533,102497.0,709.768
132,100393.0,650.493,-0.324109,-0.658133,-0.874914,-0.0406668,-0.00079106,1907.08,101041.0,978.161,105824.0,740.77,100219.0,705.512
135,98943.8,648.089,-0.305711,-0.639795,-0.874089,0.0661925,0.00129248,1253.94,96486.1,648.085,102106.0,736.422,98335.3,701.681
138,97639.4,645.859,-0.288982,-0.623154,-0.873373,0.0980319,0.00192114,786.15,93552.7,645.843,99703.2,733.863,97093.9,699.573
141,96469.4,643.769,-0.273635,-0.607968,-0.872679,0.118848,0.00233737,454.778,93586.0,643.749,98202.8,732.613,96199.2,699.602
144,95425.5,641.791,-0.259426,-0.594034,-0.871935,0.134184,0.00264839,268.119,94662.9,641.78,97368.7,732.467,95578.5,702.017
147,94504.5,639.91,-0.246215,-0.581242,-0.871138,0.145958,0.00289119,204.955,95469.1,913.319,97451.2,734.076,95509.0,707.058
150,93704.1,638.124,-0.233953,-0.569548,-0.870325,0.155132,0.0030841,245.558,98580.4,920.777,98620.8,737.95,96118.5,713.158
153,93019.9,636.458,-0.222727,-0.559005,-0.869585,0.1623,0.00323824,384.732,102346.0,928.881,100358.0,743.225,96774.6,719.102
156,92446.2,634.928,-0.212597,-0.549638,-0.868976,0.167864,0.00336104,634.434,105077.0,933.416,102639.0,749.878,97618.4,723.439
159,91977.9,633.546,-0.203593,-0.541452,-0.868536,0.172106,0.00345758,1038.79,107540.0,935.668,105390.0,757.65,98646.8,726.458
162,91611.7,632.326,-0.195763,-0.534473,-0.86832,0.175212,0.00353112,1632.36,109938.0,935.36,108128.0,765.503,99406.2,729.2
165,91344.4,631.281,-0.189161,-0.52873,-0.868375,0.177322,0.00358406,2376.76,111623.0,930.333,110678.0,773.256,99702.5,732.54
168,91173.6,630.417,-0.183791,-0.524217,-0.868722,0.178531,0.003618,3217.61,112978.0,920.453,113153.0,780.549,99675.2,736.117
171,91095.2,629.733,-0.179641,-0.520913,-0.869356,0.17892,0.00363432,4143.38,114033.0,905.909,115347.0,786.637,99345.3,738.944
